-1
           TEMP!            LAT!            LON!           JDAY!            H2O!          PRESS!             O3!             NO!            NO2!             CO!            NOx!          O3COL!           JO1D!           JNO2!           HCHO!            XOH!           XHO2!           C2H6!           C3H8!         IC4H10!         NC4H10!           C2H2!           C3H6!           C2H4!            CH4!
              0!              0!              0!              0!              1!              1!              1!              0!              1!              1!              1!              1!              1!              1!              1!              0!              0!              1!              1!              1!              1!              1!              1!              1!              1!
     2.5079e+02!     5.5300e+01!    -7.7730e+01!     5.8010e+01!     7.9596e-04!     9.5300e+02!     2.9640e-08!     1.5604e-12!     4.0879e-11!     1.7078e-07!     1.0000e+00!     4.4850e+02!     6.1122e-09!     0.0000e+00!     2.3203e-10!    -1.3144e-01!     1.9982e-01!     3.0543e-09!     1.8039e-09!     2.7221e-10!     4.6372e-10!     8.6916e-10!     2.2654e-10!     2.5184e-10!     1.9200e-06!
     2.5070e+02!     5.5300e+01!    -7.7730e+01!     5.8031e+01!     7.8818e-04!     9.5300e+02!     2.9368e-08!     2.4697e-12!     4.1973e-11!     1.7489e-07!     1.0000e+00!     4.4850e+02!    -1.3829e-08!     0.0000e+00!     2.9911e-10!     2.6596e-01!     1.9535e-01!     3.0543e-09!     1.8039e-09!     2.7221e-10!     4.6372e-10!     8.6916e-10!     2.2654e-10!     2.5184e-10!     1.9200e-06!
     2.5098e+02!     5.5300e+01!    -7.7730e+01!     5.8052e+01!     8.0613e-04!     9.5300e+02!     2.9260e-08!     3.6762e-12!     4.2020e-11!     1.7107e-07!     1.0000e+00!     4.4850e+02!    -1.0830e-08!     9.2194e-08!     2.0088e-10!     2.8663e-02!     1.7274e-01!     3.0543e-09!     1.8039e-09!     2.7221e-10!     4.6372e-10!     8.6916e-10!     2.2654e-10!     2.5184e-10!     1.9200e-06!
     2.5057e+02!     5.5300e+01!    -7.7730e+01!     5.8073e+01!     7.7693e-04!     9.5300e+02!     2.9257e-08!     1.6543e-12!     3.6591e-11!     1.6943e-07!     1.0000e+00!     4.4850e+02!     1.3343e-08!     0.0000e+00!     1.7464e-10!    -1.1235e-01!     1.3429e-01!     3.0543e-09!     1.8039e-09!     2.7221e-10!     4.6372e-10!     8.6916e-10!     2.2654e-10!     2.5184e-10!     1.9200e-06!
     2.5099e+02!     5.5300e+01!    -7.7730e+01!     5.8094e+01!     8.1912e-04!     9.5300e+02!     2.9044e-08!     1.3231e-12!     3.0454e-11!     1.6952e-07!     1.0000e+00!     4.4850e+02!    -1.3091e-08!     0.0000e+00!     2.3059e-10!    -5.7900e-02!     1.4974e-01!     3.0543e-09!     1.8039e-09!     2.7221e-10!     4.6372e-10!     8.6916e-10!     2.2654e-10!     2.5184e-10!     1.9200e-06!
     2.5082e+02!     5.5300e+01!    -7.7730e+01!     5.8115e+01!     8.1212e-04!     9.5300e+02!     2.8775e-08!     2.1200e-12!     3.7465e-11!     1.6980e-07!     1.0000e+00!     4.4850e+02!     8.7212e-09!     0.0000e+00!     2.1473e-10!    -1.4795e-01!     1.6192e-01!     3.0543e-09!     1.8039e-09!     2.7221e-10!     4.6372e-10!     8.6916e-10!     2.2654e-10!     2.5184e-10!     1.9200e-06!
     2.5078e+02!     5.5300e+01!    -7.7730e+01!     5.8135e+01!     8.0971e-04!     9.5300e+02!     2.8504e-08!     8.7381e-13!     3.9543e-11!     1.7156e-07!     1.0000e+00!     4.4850e+02!     1.8393e-09!     0.0000e+00!     2.0110e-10!     5.5273e-02!     1.5773e-01!     3.0543e-09!     1.8039e-09!     2.7221e-10!     4.6372e-10!     8.6916e-10!     2.2654e-10!     2.5184e-10!     1.9200e-06!
     2.5063e+02!     5.5300e+01!    -7.7730e+01!     5.8156e+01!     8.0130e-04!     9.5300e+02!     2.9094e-08!     1.2687e-12!     4.2572e-11!     1.6962e-07!     1.0000e+00!     4.4850e+02!     1.4330e-08!     0.0000e+00!     2.7162e-10!     8.7037e-02!     1.3939e-01!     3.0543e-09!     1.8039e-09!     2.7221e-10!     4.6372e-10!     8.6916e-10!     2.2654e-10!     2.5184e-10!     1.9200e-06!
     2.5052e+02!     5.5300e+01!    -7.7730e+01!     5.8177e+01!     7.8891e-04!     9.5300e+02!     2.8847e-08!     1.2727e-13!     3.9518e-11!     1.7091e-07!     1.0000e+00!     4.4850e+02!     1.1875e-08!     0.0000e+00!     2.5759e-10!    -8.8788e-02!     1.3668e-01!     3.0543e-09!     1.8039e-09!     2.7221e-10!     4.6372e-10!     8.6916e-10!     2.2654e-10!     2.5184e-10!     1.9200e-06!
