-1
           TEMP!            LAT!            LON!           JDAY!            H2O!          PRESS!             O3!             NO!            NO2!             CO!            NOx!          O3COL!           JO1D!           JNO2!           HCHO!            XOH!           XHO2!           C2H6!           C3H8!         IC4H10!         NC4H10!           C2H2!           C3H6!           C2H4!            CH4!
              0!              0!              0!              0!              1!              1!              1!              0!              1!              1!              1!              1!              1!              1!              1!              0!              0!              1!              1!              1!              1!              1!              1!              1!              1!
     2.4859e+02!     5.5300e+01!    -7.7730e+01!     5.7826e+01!     6.2223e-04!     9.5300e+02!     1.1563e-08!     0.0000e+00!     3.4500e-11!     1.8221e-07!     1.0000e+00!     4.6100e+02!     3.0070e-06!     9.8756e-03!     2.7182e-10!    -5.8810e-02!     9.5599e-01!     3.1740e-09!     2.1124e-09!     2.8814e-10!     4.9635e-10!     9.2412e-10!     3.1593e-10!     3.1706e-10!     1.9200e-06!
     2.4513e+02!     5.5300e+01!    -7.7730e+01!     5.8264e+01!     4.4665e-04!     9.5300e+02!     1.5126e-08!     5.0000e-13!     5.5500e-11!     1.7196e-07!     1.0000e+00!     4.4800e+02!     0.0000e+00!     0.0000e+00!     8.3298e-11!     1.5326e-01!     6.3780e-02!     3.2889e-09!     1.9454e-09!     2.8814e-10!     4.9635e-10!     8.9568e-10!     2.3688e-10!     2.7993e-10!     1.9200e-06!
     2.4519e+02!     5.5300e+01!    -7.7730e+01!     5.8271e+01!     4.4765e-04!     9.5300e+02!     1.5384e-08!     3.5000e-12!     5.9900e-11!     1.7171e-07!     1.0000e+00!     4.4800e+02!     0.0000e+00!     0.0000e+00!    -4.7189e-11!    -9.1644e-01!     6.7170e-02!     3.2889e-09!     1.9454e-09!     2.8814e-10!     4.9635e-10!     8.9568e-10!     2.3688e-10!     2.7993e-10!     1.9200e-06!
     2.4523e+02!     5.5300e+01!    -7.7730e+01!     5.8278e+01!     4.5435e-04!     9.5300e+02!     1.5405e-08!     0.0000e+00!     7.3700e-11!     1.7175e-07!     1.0000e+00!     4.4800e+02!     0.0000e+00!     0.0000e+00!    -4.7189e-11!    -9.2789e-02!     4.9230e-02!     3.2889e-09!     1.9454e-09!     2.8814e-10!     4.9635e-10!     8.9568e-10!     2.3688e-10!     2.7993e-10!     1.9200e-06!
     2.4519e+02!     5.5300e+01!    -7.7730e+01!     5.8285e+01!     4.4773e-04!     9.5300e+02!     1.5470e-08!     0.0000e+00!     7.0100e-11!     1.7193e-07!     1.0000e+00!     4.4800e+02!     0.0000e+00!     0.0000e+00!    -1.0751e-10!    -3.8217e-01!     6.8210e-02!     3.2889e-09!     1.9454e-09!     2.8814e-10!     4.9635e-10!     8.9568e-10!     2.3688e-10!     2.7993e-10!     1.9200e-06!
     2.4511e+02!     5.5300e+01!    -7.7730e+01!     5.8292e+01!     4.4190e-04!     9.5300e+02!     1.5604e-08!     5.0000e-13!     6.6900e-11!     1.7172e-07!     1.0000e+00!     4.4800e+02!     0.0000e+00!     0.0000e+00!    -1.1234e-10!    -2.1475e+00!     8.3574e-02!     3.2889e-09!     1.9454e-09!     2.8814e-10!     4.9635e-10!     8.9568e-10!     2.3688e-10!     2.7993e-10!     1.9200e-06!
     2.4497e+02!     5.5300e+01!    -7.7730e+01!     5.8299e+01!     4.3960e-04!     9.5300e+02!     1.5685e-08!     1.0000e-13!     7.0700e-11!     1.7119e-07!     1.0000e+00!     4.4800e+02!     0.0000e+00!     0.0000e+00!    -1.1234e-10!    -6.5787e-01!     6.5405e-02!     3.2889e-09!     1.9454e-09!     2.8814e-10!     4.9635e-10!     8.9568e-10!     2.3688e-10!     2.7993e-10!     1.9200e-06!
     2.4480e+02!     5.5300e+01!    -7.7730e+01!     5.8306e+01!     4.2806e-04!     9.5300e+02!     1.5911e-08!     0.0000e+00!     6.9900e-11!     1.7071e-07!     1.0000e+00!     4.4800e+02!     0.0000e+00!     0.0000e+00!     4.3462e-11!    -1.0073e+00!     7.4144e-02!     3.2889e-09!     1.9454e-09!     2.8814e-10!     4.9635e-10!     8.9568e-10!     2.3688e-10!     2.7993e-10!     1.9200e-06!
     2.4464e+02!     5.5300e+01!    -7.7730e+01!     5.8312e+01!     4.1968e-04!     9.5300e+02!     1.5936e-08!     0.0000e+00!     6.5500e-11!     1.7123e-07!     1.0000e+00!     4.4800e+02!     0.0000e+00!     0.0000e+00!    -5.8949e-12!    -1.3984e+00!     6.0881e-02!     3.2889e-09!     1.9454e-09!     2.8814e-10!     4.9635e-10!     8.9568e-10!     2.3688e-10!     2.7993e-10!     1.9200e-06!
     2.4450e+02!     5.5300e+01!    -7.7730e+01!     5.8319e+01!     4.2016e-04!     9.5300e+02!     1.5955e-08!     3.1000e-12!     6.1300e-11!     1.7223e-07!     1.0000e+00!     4.4800e+02!     0.0000e+00!     0.0000e+00!    -5.8949e-12!    -6.3825e-01!     4.3403e-02!     3.2889e-09!     1.9454e-09!     2.8814e-10!     4.9635e-10!     8.9568e-10!     2.3688e-10!     2.7993e-10!     1.9200e-06!
