-1
           TEMP!            LAT!            LON!           JDAY!            H2O!          PRESS!             O3!             NO!            NO2!             CO!            NOx!           JO1D!            XOH!           C5H8!           C2H6!           C3H8!           C2H4!         ALBEDO!          SAREA!          XREAC!          MAGIC!
              0!              0!              0!              0!              1!              1!              1!              1!              0!              1!              1!              1!              0!              1!              1!              1!              1!              1!              1!              0!              1!
     2.9491e+02!     4.9700e+00!     1.1783e+02!     1.0695e+02!     2.0796e+00!     1.0130e+03!     7.6731e-09!     4.5103e-11!     4.5103e-11!     1.2898e-07!     1.0000e+00!     6.9763e-07!     2.3148e+05!     2.5110e-11!     8.2677e-10!     1.8006e-10!     9.3930e-11!     1.0000e-01!     7.3000e-05!    -6.8322e+00!     2.0000e+10!
     2.9513e+02!     4.9700e+00!     1.1783e+02!     1.0699e+02!     2.1486e+00!     1.0130e+03!     4.8964e-09!     7.1165e-11!     7.1165e-11!     1.3750e-07!     1.0000e+00!     3.9446e-06!     5.4276e+05!     1.7499e-10!     1.1995e-09!     2.2815e-10!     1.3529e-10!     1.0000e-01!     7.3000e-05!    -4.1999e+00!     2.0000e+10!
     2.9491e+02!     4.9700e+00!     1.1783e+02!     1.0699e+02!     2.1201e+00!     1.0130e+03!     4.9268e-09!     7.8843e-11!     7.8843e-11!     1.3933e-07!     1.0000e+00!     4.7933e-06!     6.3019e+05!     1.7499e-10!     1.1995e-09!     2.2815e-10!     1.3529e-10!     1.0000e-01!     7.3000e-05!    -4.1999e+00!     2.0000e+10!
     2.9510e+02!     4.9700e+00!     1.1783e+02!     1.0703e+02!     2.0330e+00!     1.0130e+03!     6.1879e-09!     5.1398e-11!     5.1398e-11!     1.4488e-07!     1.0000e+00!     5.7287e-06!     3.8197e+05!     3.8144e-10!     8.4696e-10!     1.9770e-10!     1.7360e-10!     1.0000e-01!     7.3000e-05!    -7.3505e+00!     2.0000e+10!
     2.9515e+02!     4.9700e+00!     1.1783e+02!     1.0703e+02!     2.0382e+00!     1.0130e+03!     7.2252e-09!     4.4189e-11!     4.4189e-11!     1.4673e-07!     1.0000e+00!     7.2469e-06!     4.8738e+05!     3.8144e-10!     8.4696e-10!     1.9770e-10!     1.7360e-10!     1.0000e-01!     7.3000e-05!    -7.0405e+00!     2.0000e+10!
     2.9659e+02!     4.9700e+00!     1.1783e+02!     1.0707e+02!     2.0191e+00!     1.0130e+03!     1.2339e-08!     5.1365e-11!     5.1365e-11!     1.2662e-07!     1.0000e+00!     1.8553e-05!     1.4741e+06!     3.5305e-10!     6.5940e-10!     1.5821e-10!     8.5530e-11!     1.0000e-01!     7.3000e-05!    -1.5326e+01!     2.0000e+10!
     2.9692e+02!     4.9700e+00!     1.1783e+02!     1.0708e+02!     2.0597e+00!     1.0130e+03!     1.1671e-08!     4.0998e-11!     4.0998e-11!     1.1907e-07!     1.0000e+00!     1.7222e-05!     9.6175e+05!     3.5305e-10!     6.5940e-10!     1.5821e-10!     8.5530e-11!     1.0000e-01!     7.3000e-05!    -1.2103e+01!     2.0000e+10!
     2.9914e+02!     4.9700e+00!     1.1783e+02!     1.0715e+02!     2.1966e+00!     1.0130e+03!     8.0550e-09!     3.9548e-11!     3.9548e-11!     1.4281e-07!     1.0000e+00!     3.9016e-05!     1.1947e+06!     1.9318e-09!     6.8495e-10!     1.3957e-10!     7.9290e-11!     1.0000e-01!     7.3000e-05!    -1.6613e+01!     2.0000e+10!
     2.9931e+02!     4.9700e+00!     1.1783e+02!     1.0716e+02!     2.2186e+00!     1.0130e+03!     7.0032e-09!     3.4244e-11!     3.4244e-11!     1.4449e-07!     1.0000e+00!     2.4070e-05!     2.4753e+05!     1.9318e-09!     6.8495e-10!     1.3957e-10!     7.9290e-11!     1.0000e-01!     7.3000e-05!    -2.1692e+01!     2.0000e+10!
     2.9514e+02!     4.9700e+00!     1.1783e+02!     1.0731e+02!     2.0633e+00!     1.0130e+03!     4.3875e-09!     4.8782e-11!     4.8782e-11!     1.3182e-07!     1.0000e+00!     6.7270e-06!     3.3724e+05!     1.2721e-09!     5.7039e-10!     1.0685e-10!     6.0760e-11!     1.0000e-01!     7.3000e-05!    -1.1114e+01!     2.0000e+10!
     2.9516e+02!     4.9700e+00!     1.1783e+02!     1.0732e+02!     2.0656e+00!     1.0130e+03!     4.7525e-09!     4.5216e-11!     4.5216e-11!     1.3272e-07!     1.0000e+00!     5.8092e-06!     5.7614e+05!     1.2721e-09!     5.7039e-10!     1.0685e-10!     6.0760e-11!     1.0000e-01!     7.3000e-05!    -1.1572e+01!     2.0000e+10!
     2.9560e+02!     4.9700e+00!     1.1783e+02!     1.0735e+02!     2.1281e+00!     1.0130e+03!     5.9141e-09!     3.3999e-11!     3.3999e-11!     1.3356e-07!     1.0000e+00!     2.4321e-06!     1.2850e+05!     1.2490e-09!     5.9739e-10!     1.3421e-10!     7.0870e-11!     1.0000e-01!     7.3000e-05!    -1.3434e+01!     2.0000e+10!
     2.9564e+02!     4.9700e+00!     1.1783e+02!     1.0736e+02!     2.1328e+00!     1.0130e+03!     4.6257e-09!     2.4451e-11!     2.4451e-11!     1.3423e-07!     1.0000e+00!     1.9947e-06!     2.0227e+05!     1.2490e-09!     5.9739e-10!     1.3421e-10!     7.0870e-11!     1.0000e-01!     7.3000e-05!    -9.7634e+00!     2.0000e+10!
     2.9616e+02!     4.9700e+00!     1.1783e+02!     1.0801e+02!     2.4949e+00!     1.0130e+03!     8.5213e-09!     5.2036e-11!     5.2036e-11!     1.4253e-07!     1.0000e+00!     1.1065e-05!     8.7000e+05!     7.5487e-10!     6.5797e-10!     1.6170e-10!     1.0489e-10!     1.0000e-01!     7.3000e-05!    -6.8739e+00!     2.0000e+10!
     2.9893e+02!     4.9700e+00!     1.1783e+02!     1.0818e+02!     2.0141e+00!     1.0130e+03!     1.4028e-08!     2.8792e-11!     2.8792e-11!     1.3826e-07!     1.0000e+00!     1.9486e-05!     1.4202e+05!     2.9475e-09!     6.0514e-10!     1.4488e-10!     4.0520e-11!     1.0000e-01!     7.3000e-05!    -2.9568e+01!     2.0000e+10!
     2.9991e+02!     4.9700e+00!     1.1783e+02!     1.0826e+02!     2.0422e+00!     1.0130e+03!     1.2856e-08!     3.0805e-11!     3.0805e-11!     1.1886e-07!     1.0000e+00!     1.7225e-05!     3.3578e+05!     6.0144e-09!     6.4885e-10!     1.4268e-10!     6.3000e-11!     1.0000e-01!     7.3000e-05!    -4.9163e+01!     2.0000e+10!
     2.9472e+02!     4.9700e+00!     1.1783e+02!     1.0897e+02!     2.1530e+00!     1.0130e+03!     1.1150e-08!     3.8750e-11!     3.8750e-11!     1.2341e-07!     1.0000e+00!     3.0659e-06!     1.5700e+05!     4.4270e-11!     4.9434e-10!     9.9250e-11!     5.8060e-11!     1.0000e-01!     7.3000e-05!    -6.8235e+00!     2.0000e+10!
     2.9510e+02!     4.9700e+00!     1.1783e+02!     1.0901e+02!     2.1513e+00!     1.0130e+03!     7.0416e-09!     8.0835e-11!     8.0835e-11!     1.3348e-07!     1.0000e+00!     7.7480e-06!     3.8501e+05!     3.1403e-10!     5.1599e-10!     1.0750e-10!     7.6370e-11!     1.0000e-01!     7.3000e-05!    -7.8690e+00!     2.0000e+10!
